n_features,n_classes,frac_extreme,extreme_ovr,extreme_fisher,extreme_contrastive,moderate_ovr,moderate_fisher,moderate_contrastive,seed
8,3,0.08372242744201443,0.9482662073171353,0.9335167153056205,0.9521076055198909,0.772749413248517,0.7584066466210622,0.773050682407693,0
8,3,0.17448563711584317,0.9885099951865215,0.9871796366253419,0.9903297846002144,0.8253760910718144,0.8596059455320875,0.8225321199968408,1
8,3,0.13761196516584473,0.9757894115065939,0.9577187200099865,0.9707440506735955,0.7828989823958101,0.7860160285567968,0.77969462866632,2
8,3,0.06313733664941604,0.9931774758086687,0.9365882473106124,0.9931774758086687,0.7766350823271515,0.7534263922457153,0.7744372041791674,3
8,3,0.0955747100944654,0.8447134983005331,0.8231460233313717,0.8735347783132366,0.7160175753491529,0.7180739075486418,0.7023773355367833,4
8,3,0.1761553658789611,0.960698838966138,0.9446758920491536,0.9680002138761516,0.7597212325165699,0.7395919673760019,0.7520364828155885,5
8,3,0.18086968485732163,0.9786416724641692,0.950237816839639,0.973875858575096,0.8001440488796452,0.7766495892959222,0.7912241635915798,6
8,3,0.2113942115549202,0.9640232069942989,0.9531841818293352,0.9665911262195463,0.8140161223234665,0.7183938343930225,0.7962164575849004,7
8,3,0.22422511989755245,0.9884611139223242,0.823106602677651,0.9878041719767058,0.9114623552534113,0.7145544089654321,0.8943463506226299,8
8,3,0.30134449809425595,0.9941918548457688,0.9746958151567757,0.9941918548457688,0.8320481993042668,0.7894929490520184,0.8401352700636844,9
8,3,0.1276488415701655,0.9189564061363529,0.7523419156588522,0.9517896606645821,0.7441295678565751,0.6844427926042282,0.7280495528963671,10
8,3,0.2574518745475372,0.9938640138107226,0.9592207963385682,0.996834329610866,0.8992972461444069,0.7947924100229189,0.8817151229656941,11
8,3,0.09788712737819463,0.9241266715708838,0.8974009326023955,0.9241266715708838,0.7327968436932997,0.695729717382483,0.7185285606769302,12
8,3,0.15472729144876107,1.0,0.9988001432868558,1.0,0.8137375523831589,0.8231229286899755,0.7987823866100823,13
8,3,0.1906201062310997,0.9790669325882954,0.940571531569721,0.975935339123144,0.845654549368813,0.7744155512052302,0.8383605601466371,14
8,3,0.08289581366180981,0.8735924994376884,0.8674060667658166,0.8735924994376884,0.7735567778658133,0.7975486619885384,0.7683239135198591,15
8,3,0.17075750480885604,0.9562633214059675,0.9039213242094118,0.9597614174660605,0.7662717864716485,0.7803162058284232,0.7555175579602763,16
8,3,0.14629085365475863,0.8455014079370984,0.8424399510811958,0.8477543525924915,0.7630744641268765,0.7780363279893309,0.7619926572884143,17
8,3,0.2018732271281942,0.8952970227911929,0.8145417533782173,0.9014527594249124,0.782688967585484,0.7528650984108998,0.7767594258058232,18
8,3,0.22543033149974698,0.9375805836442546,0.9364738129509083,0.9484716667385282,0.7679168599518424,0.7877124962258608,0.7720548963073333,19
8,4,0.23619400119513909,0.9642419366597914,0.9401989083086606,0.9620111051644562,0.7476546408134728,0.7432553368769598,0.7476920411446186,0
8,4,0.2310967851044362,0.9506802627012896,0.9453965098940076,0.9492692046397839,0.7510947734974996,0.7601699228438644,0.7419398277692469,1
8,4,0.2157847225751491,0.9272760665389135,0.8593001836944862,0.9315809655840364,0.7365187440904071,0.6921555642620485,0.7152897350618134,2
8,4,0.3238990791821091,0.9311477155241592,0.899834795617222,0.9471532454425273,0.7870187039447474,0.7754539974437501,0.7791116014654099,3
8,4,0.34857132984808564,0.9211683710732954,0.8868553640374568,0.9178590375562977,0.7951468285556457,0.8065180120801935,0.7942160909252947,4
8,4,0.28080552394473335,0.9193007428509143,0.8650677365403837,0.9263519865085841,0.7586608477516156,0.76837736795247,0.7424291902991074,5
8,4,0.2852346741536499,0.9415662813294237,0.9150459684798425,0.9371871529114493,0.7575525504772361,0.7609459566835419,0.7467448717330337,6
8,4,0.39502193037411654,0.9040938272139427,0.8609024549555158,0.9025447958603989,0.7531495282970856,0.7675054735266703,0.7458646346848401,7
8,4,0.3253552604997505,0.9225810769647178,0.8952150453861465,0.9282261650800135,0.7872059747038216,0.7771398938602884,0.784293577160892,8
8,4,0.32576048927678997,0.8874126395230206,0.8815671490948841,0.9053277280385652,0.7552435194109541,0.7834511547218164,0.7516556410309994,9
8,4,0.20999068975831875,0.9290863502798913,0.9248283020258183,0.9384456322024488,0.7599798739576228,0.785779960441668,0.7605916095500719,10
8,4,0.2758114356421662,0.9185472910469606,0.9052107824582941,0.921372480204181,0.7404445005191299,0.7514644268625461,0.7298169498798699,11
8,4,0.2197107576720249,0.8289746948579289,0.8407709527074813,0.8656575187975368,0.735530429908499,0.771132211073768,0.7414216352616558,12
8,4,0.36020790070650827,0.7500829176654745,0.7180512949342004,0.7822671704181322,0.7085794451106306,0.7335364373807921,0.703875570034682,13
8,4,0.25647077866864043,0.9212564059649293,0.8765544871205058,0.9250523408146756,0.7485228266377709,0.7491177548143587,0.7544859604845842,14
8,4,0.2595274301982341,0.9577094577081591,0.95225357881627,0.9604192408478794,0.79931081758063,0.819950926581182,0.7905914891212028,15
8,4,0.28822794711696625,0.9290282402145194,0.8938401061731928,0.9569792914943172,0.7713329492389547,0.7528106529853082,0.7636243411146078,16
8,4,0.2648796578574574,0.8838982504382356,0.8527199324041861,0.8919097745648155,0.751040966055208,0.6983483675929059,0.7456314166223589,17
8,4,0.2316212310789131,0.9532808292065273,0.9305867171257218,0.9609550252384289,0.7832907138011932,0.7612983176926438,0.7944047829945664,18
8,4,0.3578532405734798,0.941858940511273,0.8923334099103206,0.9435087102211478,0.7596581517308545,0.7215781048410498,0.7418867823143219,19
8,5,0.45673059648288095,0.8728125417955745,0.8255380247585238,0.8881565763956318,0.7244592402018586,0.7386109651892323,0.7151738595579117,0
8,5,0.3611391908129615,0.8596329209086404,0.7938065964180874,0.8649888665759011,0.7100899662510425,0.7058135454302564,0.6875595361588729,1
8,5,0.47052031705782354,0.8875784617482472,0.8769785340626166,0.9045574561202199,0.7295122352992263,0.7305127707408554,0.7265938315668984,2
8,5,0.3653376632912265,0.8878948110770312,0.8801226326488036,0.8972704949395405,0.7634783153470011,0.7556634825601221,0.7477023221989834,3
8,5,0.4334217777281407,0.8540356788270962,0.8345857578359681,0.8577265355510306,0.7358504098028037,0.7459590935492438,0.743229707686484,4
8,5,0.3543223507431954,0.9155596561470942,0.9073006381988105,0.9293935488672505,0.748484641048105,0.7428986124506862,0.7332213958486213,5
8,5,0.40899124481621024,0.8663166366538222,0.8546008889130495,0.8688358587872788,0.7604409502300636,0.7819870585930537,0.7664621367885558,6
8,5,0.5059746532198909,0.8708321702562563,0.8319228224111483,0.8832511162399963,0.7301767154188413,0.7268671855848803,0.7337091265303204,7
8,5,0.37396287445534204,0.8447584012386476,0.8277310097240879,0.8697196679501855,0.773520127688937,0.7826358789666799,0.7743851511275099,8
8,5,0.3063421876189792,0.8620565518163326,0.8335559117507003,0.875208395954716,0.7240193833575823,0.7494296737988324,0.7141615410478034,9
8,5,0.4800120219643104,0.8899446496499039,0.8727586276030502,0.9082177125042518,0.748495984055084,0.761459151488395,0.7382192223708612,10
8,5,0.35291874394485534,0.8966702564592378,0.8645046929570763,0.8970184818465758,0.7549447796699483,0.7561509142504712,0.7523278895674002,11
8,5,0.3697727711537835,0.8617997453488392,0.8432598779440057,0.8762365116318567,0.7463687171819484,0.7612504233450452,0.7514118861582845,12
8,5,0.4503971777485771,0.9173463848777502,0.9284945792215326,0.9161054563177768,0.8065846538619326,0.8245602999468956,0.7859812413991478,13
8,5,0.34641219397401557,0.915157344905031,0.887417536204031,0.9280617488564484,0.7374869690387449,0.7572709474616439,0.7248150331602434,14
8,5,0.300843549330159,0.9123461906425618,0.8937491194307603,0.909567630929021,0.7793794045062832,0.7775934776806992,0.7790864786951047,15
8,5,0.4640782329710176,0.8912630214657868,0.8829909329863281,0.9061291276412693,0.7396948882345006,0.7271032819578545,0.7315421724162526,16
8,5,0.4922190636295404,0.8884816927356943,0.8695752197893412,0.8957663159112843,0.7382226588414091,0.7388573036053253,0.745475716949655,17
8,5,0.45654097712421704,0.8990725815555045,0.8881363302498836,0.9083617747295059,0.7498373113808999,0.7609293302917459,0.7368673295474307,18
