n_features,n_classes,K,ovr_fidelity,fisher_fidelity,contrastive_fidelity,ovr_stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,ovr_mean_norm,fisher_mean_norm,contrastive_mean_norm,ovr_feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,seed
8,3,2,0.7527067673820415,0.7114420986899274,0.7427176186190391,0.0853425391939991,0.13376865407004956,0.08919299218393875,0.15948197419405888,0.009513711026953028,0.38554810433152675,0.5555555555555555,0.2222222222222222,0.5555555555555555,0
8,3,5,0.7527067673820415,0.7114420986899274,0.7427176186190391,0.0853425391939991,0.13376865407004956,0.08919299218393875,0.15948197419405888,0.009513711026953028,0.38554810433152675,0.5079365079365079,0.7777777777777777,0.5873015873015873,0
8,3,2,0.8572857407581456,0.8584436486670945,0.8551091093921935,0.021366247943913466,0.061766526104314094,0.017425155438911565,0.23173968650450158,0.016672872250617206,0.7738859314608253,0.5555555555555555,0.5555555555555555,0.5555555555555555,0
8,3,5,0.8572857407581456,0.8584436486670945,0.8551091093921935,0.021366247943913466,0.061766526104314094,0.017425155438911565,0.23173968650450158,0.016672872250617206,0.7738859314608253,0.5079365079365079,0.5079365079365079,0.5873015873015873,0
8,3,2,0.7566657295125371,0.7514181603615647,0.7652320424217919,0.09754160217034309,0.13310603169578086,0.07378248242045353,0.14302969849305605,0.01022437424676114,0.413002547253558,0.1111111111111111,1.0,0.3333333333333333,0
8,3,5,0.7566657295125371,0.7514181603615647,0.7652320424217919,0.09754160217034309,0.13310603169578086,0.07378248242045353,0.14302969849305605,0.01022437424676114,0.413002547253558,0.5873015873015873,0.5873015873015873,0.6666666666666666,0
8,3,2,0.8873671591970229,0.8905095351262966,0.8950003340212901,0.006168986970232732,0.02299223329638824,0.005945704016803792,0.35812312003497576,0.02186291299150467,0.8848377097273842,0.5555555555555555,1.0,0.3333333333333333,0
8,3,5,0.8873671591970229,0.8905095351262966,0.8950003340212901,0.006168986970232732,0.02299223329638824,0.005945704016803792,0.35812312003497576,0.02186291299150467,0.8848377097273842,0.6666666666666666,1.0,0.6190476190476191,0
8,3,2,0.7670507852617773,0.8055742374511056,0.7609204904779523,0.031607320543666856,0.09455099715185115,0.03579461314805701,0.2078794261634078,0.013161296946353197,0.5486567916030186,0.5555555555555555,0.3333333333333333,0.2222222222222222,0
8,3,5,0.7670507852617773,0.8055742374511056,0.7609204904779523,0.031607320543666856,0.09455099715185115,0.03579461314805701,0.2078794261634078,0.013161296946353197,0.5486567916030186,0.7777777777777777,0.5873015873015873,0.5873015873015873,0
8,3,2,0.6954084358271567,0.7393493155966805,0.7172835913907261,0.04135825280116634,0.12248994238498226,0.05751867176124062,0.14912354491662186,0.00964093934309315,0.4172678820886127,0.3333333333333333,0.5555555555555555,0.2222222222222222,0
8,3,5,0.6954084358271567,0.7393493155966805,0.7172835913907261,0.04135825280116634,0.12248994238498226,0.05751867176124062,0.14912354491662186,0.00964093934309315,0.4172678820886127,0.5079365079365079,0.36904761904761907,0.6666666666666666,0
8,3,2,0.8286469526649234,0.7576047487236203,0.8156787295601987,0.027756238301629432,0.11530128270193181,0.019757504489485073,0.16502464494810087,0.01323433768844891,0.49994248724674767,1.0,0.5555555555555555,0.5555555555555555,0
8,3,5,0.8286469526649234,0.7576047487236203,0.8156787295601987,0.027756238301629432,0.11530128270193181,0.019757504489485073,0.16502464494810087,0.01323433768844891,0.49994248724674767,0.4484126984126984,1.0,0.7777777777777777,0
8,3,2,0.8072079403625844,0.8147174573707986,0.8041888776809857,0.03715790314076624,0.060520041642965976,0.03978481775447193,0.15727110973898367,0.011281843798045588,0.38501470495638174,0.5555555555555555,0.5555555555555555,0.5555555555555555,0
8,3,5,0.8072079403625844,0.8147174573707986,0.8041888776809857,0.03715790314076624,0.060520041642965976,0.03978481775447193,0.15727110973898367,0.011281843798045588,0.38501470495638174,0.7777777777777777,0.7777777777777777,0.5873015873015873,0
8,3,2,0.8191973251159637,0.849306014810108,0.8177245712565997,0.013502357550065777,0.03178908673292361,0.017848533840491246,0.19165402642858967,0.010679420597220301,0.5656370074885735,0.5555555555555555,0.3333333333333333,0.1111111111111111,1
8,3,5,0.8191973251159637,0.849306014810108,0.8177245712565997,0.013502357550065777,0.03178908673292361,0.017848533840491246,0.19165402642858967,0.010679420597220301,0.5656370074885735,0.6666666666666666,0.7777777777777777,0.5079365079365079,1
8,3,2,0.8838479759887958,0.9293227401501725,0.8676556843004019,0.009050804986948102,0.010810829415246966,0.009313902703147841,0.2498322613401647,0.02430735036707084,0.7267796785461386,0.5555555555555555,0.5555555555555555,0.2222222222222222,1
8,3,5,0.8838479759887958,0.9293227401501725,0.8676556843004019,0.009050804986948102,0.010810829415246966,0.009313902703147841,0.2498322613401647,0.02430735036707084,0.7267796785461386,0.6666666666666666,0.7777777777777777,0.5873015873015873,1
8,3,2,0.820056821492699,0.888873270059066,0.8171720997466726,0.009033393021548474,0.0148703490811672,0.01125533403320338,0.23286550154366834,0.022445482071376453,0.6753937737564755,0.5555555555555555,0.5555555555555555,0.2222222222222222,1
8,3,5,0.820056821492699,0.888873270059066,0.8171720997466726,0.009033393021548474,0.0148703490811672,0.01125533403320338,0.23286550154366834,0.022445482071376453,0.6753937737564755,0.6666666666666666,0.36904761904761907,0.5873015873015873,1
8,3,2,0.8336820870353786,0.820230783864038,0.8217635696350034,0.016565214694009647,0.03494460083101939,0.016923027125111647,0.19179861779180843,0.01168301506437211,0.6358094491269488,0.5555555555555555,0.5555555555555555,0.3333333333333333,1
8,3,5,0.8336820870353786,0.820230783864038,0.8217635696350034,0.016565214694009647,0.03494460083101939,0.016923027125111647,0.19179861779180843,0.01168301506437211,0.6358094491269488,0.5079365079365079,0.5873015873015873,0.5079365079365079,1
8,3,2,0.8606531229151213,0.8817576285850197,0.8662626362151666,0.006812313557022322,0.011807425905804247,0.009968095745014015,0.26259759482998374,0.02282355982065963,0.7051467077493573,0.5555555555555555,0.5555555555555555,0.5555555555555555,1
8,3,5,0.8606531229151213,0.8817576285850197,0.8662626362151666,0.006812313557022322,0.011807425905804247,0.009968095745014015,0.26259759482998374,0.02282355982065963,0.7051467077493573,0.7777777777777777,0.6190476190476191,0.5079365079365079,1
8,3,2,0.8526795471395205,0.8853168161160191,0.8470748678367587,0.005078416240458598,0.016523228648568197,0.004944579525084332,0.2849233174474993,0.017637477648084727,0.7874542086328448,0.5555555555555555,1.0,0.5555555555555555,1
8,3,5,0.8526795471395205,0.8853168161160191,0.8470748678367587,0.005078416240458598,0.016523228648568197,0.004944579525084332,0.2849233174474993,0.017637477648084727,0.7874542086328448,0.7777777777777777,0.6190476190476191,0.5873015873015873,1
8,3,2,0.8710807991448647,0.8699140900643793,0.84855730150044,0.014921178443946005,0.029361250520091853,0.019036355235839547,0.19962824120227166,0.011578286455997917,0.6348948351663936,0.5555555555555555,0.5555555555555555,0.2222222222222222,1
8,3,5,0.8710807991448647,0.8699140900643793,0.84855730150044,0.014921178443946005,0.029361250520091853,0.019036355235839547,0.19962824120227166,0.011578286455997917,0.6348948351663936,0.5079365079365079,1.0,0.4484126984126984,1
8,3,2,0.8594413015167777,0.9225992134790522,0.8688271140666579,0.008207478184035149,0.00915252370125191,0.008117731215699376,0.2663457158462056,0.024431132857063973,0.7057275673881029,0.5555555555555555,0.5555555555555555,0.2222222222222222,1
8,3,5,0.8594413015167777,0.9225992134790522,0.8688271140666579,0.008207478184035149,0.00915252370125191,0.008117731215699376,0.2663457158462056,0.024431132857063973,0.7057275673881029,0.6666666666666666,0.6190476190476191,0.6190476190476191,1
8,3,2,0.7640661698838913,0.7361685639033824,0.7442906463572765,0.1272715182880706,0.21236950967159163,0.10264197635685876,0.08838127333847347,0.007444253734641642,0.32503866351566457,0.2222222222222222,0.2222222222222222,0.5555555555555555,2
8,3,5,0.7640661698838913,0.7361685639033824,0.7442906463572765,0.1272715182880706,0.21236950967159163,0.10264197635685876,0.08838127333847347,0.007444253734641642,0.32503866351566457,0.5873015873015873,0.36904761904761907,0.7777777777777777,2
8,3,2,0.8585484182774543,0.9092266540449437,0.8462023393870624,0.02723341417118367,0.06814213896959562,0.0375732496828524,0.25620905361512264,0.01882805935021236,0.8388836403317864,0.2222222222222222,0.3333333333333333,0.1111111111111111,2
8,3,5,0.8585484182774543,0.9092266540449437,0.8462023393870624,0.02723341417118367,0.06814213896959562,0.0375732496828524,0.25620905361512264,0.01882805935021236,0.8388836403317864,0.5873015873015873,0.5079365079365079,0.6666666666666666,2
8,3,2,0.8168733236321851,0.8418648916448747,0.7914256754569651,0.034203696583240566,0.08956789183197468,0.032872496403611756,0.31323421759238007,0.016571297004036804,0.8652048429602572,0.5555555555555555,1.0,0.2222222222222222,2
8,3,5,0.8168733236321851,0.8418648916448747,0.7914256754569651,0.034203696583240566,0.08956789183197468,0.032872496403611756,0.31323421759238007,0.016571297004036804,0.8652048429602572,0.7777777777777777,0.7777777777777777,0.6190476190476191,2
8,3,2,0.8218594505150265,0.7825489639559511,0.8140701630154025,0.02605522823986233,0.07429141011364601,0.020975854417240848,0.22024335772999606,0.016527418448135555,0.61609582184681,0.5555555555555555,0.5555555555555555,0.3333333333333333,2
8,3,5,0.8218594505150265,0.7825489639559511,0.8140701630154025,0.02605522823986233,0.07429141011364601,0.020975854417240848,0.22024335772999606,0.016527418448135555,0.61609582184681,0.6666666666666666,1.0,0.6190476190476191,2
8,3,2,0.8041320584439422,0.7326164632105835,0.7951443426938303,0.03376936812355662,0.09045181866770263,0.02331823612414473,0.2003674826154504,0.01197433537458109,0.6620188598085807,1.0,0.3333333333333333,0.5555555555555555,2
8,3,5,0.8041320584439422,0.7326164632105835,0.7951443426938303,0.03376936812355662,0.09045181866770263,0.02331823612414473,0.2003674826154504,0.01197433537458109,0.6620188598085807,0.5079365079365079,0.6190476190476191,0.6190476190476191,2
8,3,2,0.7751175607720675,0.7141019564234046,0.7684193220823465,0.017155608854171812,0.04142289714492169,0.021178912107753647,0.18376681918451968,0.01390289421974485,0.4972957412626353,0.2222222222222222,0.5555555555555555,0.3333333333333333,2
8,3,5,0.7751175607720675,0.7141019564234046,0.7684193220823465,0.017155608854171812,0.04142289714492169,0.021178912107753647,0.18376681918451968,0.01390289421974485,0.4972957412626353,0.5079365079365079,0.42857142857142855,0.6666666666666666,2
8,3,2,0.7754052351214091,0.733950143305806,0.7706791229022528,0.11557997010597182,0.2521633636056144,0.0689399416358061,0.10029530446031244,0.006810433328530368,0.39101267244522586,0.3333333333333333,0.1111111111111111,0.5555555555555555,2
8,3,5,0.7754052351214091,0.733950143305806,0.7706791229022528,0.11557997010597182,0.2521633636056144,0.0689399416358061,0.10029530446031244,0.006810433328530368,0.39101267244522586,0.4484126984126984,0.5079365079365079,0.6190476190476191,2
8,3,2,0.6754979534465174,0.6008446161866272,0.6830860868666013,0.17985444988230032,0.4140801399044253,0.1450057875044818,0.07329508673544885,0.004981320892332989,0.20310514863113063,0.5555555555555555,0.3333333333333333,0.5555555555555555,2
8,3,5,0.6754979534465174,0.6008446161866272,0.6830860868666013,0.17985444988230032,0.4140801399044253,0.1450057875044818,0.07329508673544885,0.004981320892332989,0.20310514863113063,0.5873015873015873,0.7777777777777777,0.5873015873015873,2
8,3,2,0.7978932176257316,0.8094865548092822,0.8217486555040836,0.023404715867740136,0.04484079670219859,0.02708795852688587,0.21769004673810502,0.01441681708161616,0.6917437409602989,0.3333333333333333,0.2222222222222222,0.5555555555555555,3
8,3,5,0.7978932176257316,0.8094865548092822,0.8217486555040836,0.023404715867740136,0.04484079670219859,0.02708795852688587,0.21769004673810502,0.01441681708161616,0.6917437409602989,0.6190476190476191,1.0,0.5873015873015873,3
8,3,2,0.7587478458296305,0.7821290279801315,0.7575317485468964,0.022602882785779106,0.05738719612318016,0.022731225385974562,0.24834317569848569,0.013617958018374399,0.6393072479109225,0.5555555555555555,0.3333333333333333,0.5555555555555555,3
8,3,5,0.7587478458296305,0.7821290279801315,0.7575317485468964,0.022602882785779106,0.05738719612318016,0.022731225385974562,0.24834317569848569,0.013617958018374399,0.6393072479109225,0.6190476190476191,0.7777777777777777,0.5079365079365079,3
8,3,2,0.7724123078873639,0.7972561207301426,0.7885843178111527,0.02350201952006432,0.049390940727310956,0.022572179218132135,0.23479250385762385,0.01571404234443713,0.7498366101506789,0.2222222222222222,0.5555555555555555,0.5555555555555555,3
8,3,5,0.7724123078873639,0.7972561207301426,0.7885843178111527,0.02350201952006432,0.049390940727310956,0.022572179218132135,0.23479250385762385,0.01571404234443713,0.7498366101506789,0.6666666666666666,0.6190476190476191,0.7777777777777777,3
8,3,2,0.815764279376054,0.7997241943519491,0.8039334215448662,0.017637914568519597,0.04148459675504535,0.018929803856278037,0.21029053560798483,0.013119766520276435,0.583525389198283,0.2222222222222222,1.0,0.1111111111111111,3
