n_features,n_classes,frac_extreme,ridge_fidelity,ridge_extreme,ridge_moderate,logistic_fidelity,logistic_extreme,logistic_moderate,ridge_direction_variance,logistic_direction_variance,seed
8,3,0.0566608002223304,0.7427176186190391,0.8527151959338672,0.7361107154450327,0.741944008287447,0.8527151959338672,0.7352906389213661,0.09539122441015807,0.09093626292861703,0
8,3,0.19498427164150534,0.8730698922703968,1.0,0.8423259282294693,0.8772094177960861,1.0,0.8474680954938656,0.020796832549056607,0.022616847713816272,0
8,3,0.08673290328775134,0.7234231889526404,0.8697823977067576,0.7095234665780563,0.7359940275599344,0.9264791071864326,0.7179036747502457,0.07376340939438644,0.059508743172180883,0
8,3,0.07333442073801502,0.8568341728024279,1.0,0.8455043217299683,0.8740968599585015,1.0,0.8641331426794009,0.005718393439227577,0.00549510798256537,0
8,3,0.057353498982603314,0.8182172460829357,1.0,0.8071570268166631,0.8148332276577639,1.0,0.8035671143505164,0.03530600395144187,0.0317726594916275,0
8,3,0.12269396212057238,0.7240946319919983,0.8957635309600213,0.7000862056529134,0.7384580633444409,0.9033262043338491,0.7154007440373287,0.07419249452154361,0.0669524177582492,0
8,3,0.06337197090773915,0.8250973290376321,0.9603374027997441,0.8159470262986469,0.8554434648124117,0.9603374027997441,0.8483463724982153,0.02616264680323519,0.029834427399450546,0
8,3,0.033072329694077994,0.7526350316501136,1.0,0.7441742790630619,0.7799289654355039,1.0,0.7724017614524684,0.050152913785106765,0.03483256078123889,0
8,3,0.21245056646501226,0.7995138369288055,0.9835400796509745,0.749870629980812,0.8162506987148617,0.9835400796509745,0.7711224537691058,0.022654289297628236,0.018295213398737763,1
8,3,0.13656850019953187,0.8831725070111487,0.9913269020281876,0.8660657839869389,0.8865433575032169,0.9913269020281876,0.8699698001050065,0.008069264410103007,0.00595093537701186,1
8,3,0.17189978452388577,0.8289693552059976,1.0,0.7934662476863762,0.8417736542170289,1.0,0.8089285054804637,0.015334292112701358,0.008560155931983542,1
8,3,0.20663423214065105,0.7848954638215347,1.0,0.728870913149104,0.7921269456703499,1.0,0.7379858537499913,0.021292729812334314,0.013245905045878465,1
8,3,0.1410678070077212,0.8561470378923144,1.0,0.8325211660695333,0.8621660042706619,1.0,0.8395286649471561,0.006217733996789412,0.004218738803994428,1
8,3,0.1598692526431612,0.800249492409965,1.0,0.7622387845957596,0.8086534906907229,1.0,0.772241987439124,0.008196499886494433,0.006341272994716407,1
8,3,0.21734991818932553,0.8566089367432432,0.9883752526329056,0.8200160855517257,0.8600437991930934,0.9883752526329056,0.8244048443721469,0.012677875594245576,0.011166418300839299,1
8,3,0.10647136786502429,0.8489862493539634,1.0,0.8309917050053471,0.8905217252177903,1.0,0.8774764782627895,0.009983146521604471,0.008427714983856607,1
8,3,0.1522378019845953,0.8436213941151742,0.9805231940669656,0.8190371071993562,0.8410164600504287,0.9805231940669656,0.8159643893182762,0.008468810181953099,0.008478198407696685,2
8,3,0.2559595872554285,0.8868462285803224,1.0,0.847919858274522,0.8945215176870092,1.0,0.8582355467441503,0.023441031110795596,0.014330068325298312,2
8,3,0.1380793656820424,0.7849248811995387,0.9530649722316846,0.7579889010279871,0.7929156457264357,0.9530649722316846,0.767259783066007,0.02225860314577997,0.016808747936601774,2
8,3,0.2622640254904068,0.8459650128358129,0.9906942285494243,0.7945139950860641,0.847750431865837,0.9906942285494243,0.7969341278865704,0.016276054624685198,0.01261402868471943,2
8,3,0.1439291152503673,0.8069742198545341,1.0,0.774521265021274,0.8157261567946239,1.0,0.7847446438278659,0.00609734185353182,0.005695476083641814,2
8,3,0.10953802634574714,0.8552963292130972,1.0,0.8374959570782433,0.8637047784417284,1.0,0.8469387513551565,0.017277638137325035,0.01656248202805197,2
8,3,0.13272075715176876,0.8204467617441167,0.992752511359669,0.7940786113021938,0.826479209011861,0.992752511359669,0.8010342110326027,0.011293269157691056,0.009157667447024492,2
8,3,0.31804845791576064,0.8433860552046291,0.9856373853889533,0.7770429011686181,0.8489224917424012,0.9668315574330959,0.7939320793699909,0.024166376688713465,0.009829907277926497,2
8,3,0.3113851276407703,0.7726509325283957,0.881751709817807,0.7233165936611861,0.7832207670774781,0.8807954645115573,0.7390984124281725,0.049072133463399066,0.030721552012129186,3
8,3,0.10657784183784286,0.7294352660397393,0.952277360069595,0.7028520553645267,0.7301880803459303,0.952277360069595,0.7036946741638406,0.08224856715883724,0.11262172354807355,3
8,3,0.23258498607122186,0.8001883402835978,0.9073728334883131,0.7677033049290731,0.8204553005737495,0.9073728334883131,0.794112692186686,0.08342961313309587,0.0479376447375575,3
8,3,0.15474470399007492,0.7701584323219461,0.8845674765057707,0.7492130519622051,0.7908406638030413,0.9231251572952829,0.7666227442176035,0.09865592608263875,0.13782285366181818,3
8,3,0.2634103098606557,0.7783288200847621,0.8933931482466935,0.7371809045752351,0.7824999705868796,0.9081319067941624,0.7375729947036112,0.01746921993052572,0.017610289485429937,3
8,3,0.17957988599782862,0.7980883475849834,0.8368445722908281,0.7896050860271573,0.8046310101904909,0.8563243257106278,0.7933159783555552,0.08927784961394104,0.08478098030879273,3
8,3,0.10541034432337446,0.7213053063223417,0.919437099072322,0.6979592499906414,0.7312769692594676,0.942847040667817,0.7063474678571662,0.10547773021854476,0.10581858368182712,3
8,3,0.19293241774270706,0.7403773464443756,0.9715475071210119,0.6851152853855348,0.7554394602606339,0.9826652173723639,0.7011203231068792,0.11474608202770473,0.07519789084194486,3
8,3,0.14120165525167283,0.820477231517808,0.9224665914663844,0.8037083747415203,0.8315963744155229,0.9224665914663844,0.8166557016264756,0.027292563854265713,0.025623542467133022,4
8,3,0.0796363873201862,0.7595453783897205,1.0,0.7387395391369828,0.7701858665505876,1.0,0.7503007177997131,0.052813107098521855,0.04346854502267607,4
8,3,0.15413583355905203,0.7620916214256609,0.9250494208817613,0.7323969762915618,0.7605920321065264,0.9574035581080517,0.7247284622594736,0.030297612273180445,0.02532450236353572,4
8,3,0.27364047317273565,0.8557409415027769,0.9839804722833302,0.8074294310369888,0.8582987040992415,0.9839804722833302,0.8109507761863216,0.059246404182124006,0.04943880519646705,4
8,3,0.12113830221214536,0.7937630383089608,0.9901579474247574,0.7666928566031481,0.8147460321500193,0.9901579474247574,0.790568050952696,0.014181246148512575,0.01129275487686229,4
8,3,0.12644906097843733,0.8323122510354473,1.0,0.8080389574620864,0.8239206138783862,1.0,0.7984326062097367,0.019468634912081857,0.021893481132607688,4
8,3,0.15035479711047642,0.8427720830690972,0.9962421185212854,0.815613739840092,0.8457807036860295,0.9962421185212854,0.8191547715633342,0.019197334553080432,0.01152853636361503,4
8,3,0.14202124675967143,0.8231164279594432,0.9855930759360781,0.7962216639249887,0.8231164279594432,0.9855930759360781,0.7962216639249887,0.02129569434949179,0.021220936649133163,4
8,3,0.03189180337932405,0.7165843722897931,1.0,0.7072479825090722,0.7239071075081205,1.0,0.7148119461692171,0.05694779723286221,0.05598186436028177,5
8,3,0.023424652012253952,0.6696767687337473,0.8805719914726072,0.6646181245503938,0.6783597336827326,0.8805719914726072,0.6735093636819945,0.14429930374821892,0.12406725416141458,5
8,3,0.0312443584719313,0.726043112931654,1.0,0.7172074408400663,0.7552363674393954,1.0,0.7473422377447774,0.09805560634155555,0.05005113160610013,5
8,3,0.18113088192475185,0.8411234387054017,1.0,0.8059805190015742,0.8495536284667815,1.0,0.8162754361932187,0.03703407099227297,0.026116104105595436,5
8,3,0.01206813242071945,0.6926041559471474,0.8741475268605104,0.6903865035844856,0.6823239868603241,0.8741475268605104,0.6799807565646909,0.16113839961913856,0.15014893561207274,5
