n_features,n_classes,K,sum_to_one_deviation,sum_to_one_deviation_topk,ovr_feature_overlap,fisher_feature_overlap,ovr_pairdiff_variance,fisher_pairdiff_variance,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,ovr_pairdiff_mean_norm,fisher_pairdiff_mean_norm,seed
8,3,2,1.1102230246251565e-16,0.0031499832421835183,0.5555555555555555,0.2222222222222222,0.0023070090054394736,1.3306250223370874e-05,0.0853425391939991,0.13376865407004956,0.15948197419405888,0.009513711026953028,0
8,3,5,1.1102230246251565e-16,0.00030591429078929977,0.5079365079365079,0.7777777777777777,0.0023070090054394736,1.3306250223370874e-05,0.0853425391939991,0.13376865407004956,0.15948197419405888,0.009513711026953028,0
8,3,2,0.0,0.0002699778719359447,0.5555555555555555,0.5555555555555555,0.0012291058932132925,1.9148688063642e-05,0.021366247943913466,0.061766526104314094,0.23173968650450158,0.016672872250617206,0
8,3,5,0.0,0.0009785641825283964,0.5079365079365079,0.5079365079365079,0.0012291058932132925,1.9148688063642e-05,0.021366247943913466,0.061766526104314094,0.23173968650450158,0.016672872250617206,0
8,3,2,0.0,8.014181321325253e-05,0.1111111111111111,1.0,0.0021289353561385073,1.4740486852658507e-05,0.09754160217034309,0.13310603169578086,0.14302969849305605,0.01022437424676114,0
8,3,5,0.0,0.0001857177974545765,0.5873015873015873,0.5873015873015873,0.0021289353561385073,1.4740486852658507e-05,0.09754160217034309,0.13310603169578086,0.14302969849305605,0.01022437424676114,0
8,3,2,0.0,0.001102855401885261,0.5555555555555555,1.0,0.0011665521810108274,2.0683887826766652e-05,0.006168986970232732,0.02299223329638824,0.35812312003497576,0.02186291299150467,0
8,3,5,0.0,0.00015032916620327796,0.6666666666666666,1.0,0.0011665521810108274,2.0683887826766652e-05,0.006168986970232732,0.02299223329638824,0.35812312003497576,0.02186291299150467,0
8,3,2,2.220446049250313e-16,0.0031356854383994825,0.5555555555555555,0.3333333333333333,0.001582031561956044,1.834380520951628e-05,0.031607320543666856,0.09455099715185115,0.2078794261634078,0.013161296946353197,0
8,3,5,2.220446049250313e-16,0.003467197169075731,0.7777777777777777,0.5873015873015873,0.001582031561956044,1.834380520951628e-05,0.031607320543666856,0.09455099715185115,0.2078794261634078,0.013161296946353197,0
8,3,2,2.220446049250313e-16,0.002621967115393642,0.3333333333333333,0.5555555555555555,0.0012488628997191751,1.3740924752172333e-05,0.04135825280116634,0.12248994238498226,0.14912354491662186,0.00964093934309315,0
8,3,5,2.220446049250313e-16,0.0012163211611611047,0.5079365079365079,0.36904761904761907,0.0012488628997191751,1.3740924752172333e-05,0.04135825280116634,0.12248994238498226,0.14912354491662186,0.00964093934309315,0
8,3,2,2.220446049250313e-16,0.0011917113106219013,1.0,0.5555555555555555,0.001365059726434508,2.4227277972309992e-05,0.027756238301629432,0.11530128270193181,0.16502464494810087,0.01323433768844891,0
8,3,5,2.220446049250313e-16,0.0007848867910780211,0.4484126984126984,1.0,0.001365059726434508,2.4227277972309992e-05,0.027756238301629432,0.11530128270193181,0.16502464494810087,0.01323433768844891,0
8,3,2,0.0,0.0019108251714479163,0.5555555555555555,0.5555555555555555,0.0011421181076306326,1.0135165557881142e-05,0.03715790314076624,0.060520041642965976,0.15727110973898367,0.011281843798045588,0
