n_features,n_classes,frac_extreme,standard_fidelity,standard_extreme,standard_moderate,pairkernel_fidelity,pairkernel_extreme,pairkernel_moderate,standard_direction_variance,pairkernel_direction_variance,seed
8,3,0.0566608002223304,0.7427176186190391,0.8527151959338672,0.7361107154450327,0.7468656809430169,0.8317645154406933,0.741766310640463,0.09539122441015807,0.09730987284973808,0
8,3,0.19498427164150534,0.8730698922703968,1.0,0.8423259282294693,0.8772094177960861,1.0,0.8474680954938656,0.020796832549056607,0.029859355673324997,0
8,3,0.08673290328775134,0.7234231889526404,0.8697823977067576,0.7095234665780563,0.7354042333309586,0.9264791071864326,0.717257867810415,0.07376340939438644,0.06497548018993392,0
8,3,0.07333442073801502,0.8568341728024279,1.0,0.8455043217299683,0.8725713555284342,1.0,0.8624869129453882,0.005718393439227577,0.004700655702798878,0
8,3,0.057353498982603314,0.8182172460829357,1.0,0.8071570268166631,0.8165081308423453,1.0,0.8053439237724722,0.03530600395144187,0.031131208162361066,0
8,3,0.12269396212057238,0.7240946319919983,0.8957635309600213,0.7000862056529134,0.7436491947519744,0.9033262043338491,0.7213178712237336,0.07419249452154361,0.07070940603769314,0
8,3,0.06337197090773915,0.8250973290376321,0.9603374027997441,0.8159470262986469,0.8509914917901503,0.9603374027997441,0.8435931803194845,0.02616264680323519,0.027831183882795013,0
8,3,0.033072329694077994,0.7526350316501136,1.0,0.7441742790630619,0.7799289654355039,1.0,0.7724017614524684,0.050152913785106765,0.039284813834865935,0
8,3,0.21245056646501226,0.7995138369288055,0.9835400796509745,0.749870629980812,0.8197874025325471,0.9580740017975465,0.7824829933140697,0.022654289297628236,0.0173534176690296,1
8,3,0.13656850019953187,0.8831725070111487,0.9913269020281876,0.8660657839869389,0.8811890801862565,0.9913269020281876,0.8637686395981247,0.008069264410103007,0.005904575977046342,1
8,3,0.17189978452388577,0.8289693552059976,1.0,0.7934662476863762,0.8369491448858463,1.0,0.803102508528623,0.015334292112701358,0.008460656531040325,1
8,3,0.20663423214065105,0.7848954638215347,1.0,0.728870913149104,0.8012422132756192,1.0,0.7494752171363949,0.021292729812334314,0.0131435397211223,1
8,3,0.1410678070077212,0.8561470378923144,1.0,0.8325211660695333,0.8570616295782959,1.0,0.8335859668692276,0.006217733996789412,0.004304600473218831,1
8,3,0.1598692526431612,0.800249492409965,1.0,0.7622387845957596,0.8112945434623478,1.0,0.7753856085718274,0.008196499886494433,0.006635503333611806,1
8,3,0.21734991818932553,0.8566089367432432,0.9883752526329056,0.8200160855517257,0.8548101906079144,0.9883752526329056,0.817717809250307,0.012677875594245576,0.011564665602392585,1
8,3,0.10647136786502429,0.8489862493539634,1.0,0.8309917050053471,0.8905217252177903,1.0,0.8774764782627895,0.009983146521604471,0.007688053352424937,1
