n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,5,8,recall,joint_refit_recall,pair_lasso_recall,20,0.66015625,0.63984375,0.68046875,0.85703125,0.82890625,0.88046875,-0.196875,8.609160404929316e-05,-1.0,True
20,3,6,recall,joint_refit_recall,pair_lasso_recall,20,0.525,0.46875,0.58125,0.709375,0.6520833333333333,0.7625,-0.184375,0.00013039108231925053,-1.0,True
20,3,12,recall,joint_refit_recall,pair_lasso_recall,20,0.7145833333333333,0.6827994791666666,0.7479166666666666,0.8390625,0.8166666666666668,0.8609505208333332,-0.12447916666666667,8.732637791829415e-05,-1.0,True
20,4,6,recall,joint_refit_recall,pair_lasso_recall,20,0.5229166666666667,0.4770833333333334,0.5677083333333333,0.7239583333333333,0.6916666666666668,0.7541666666666667,-0.2010416666666667,0.00013100797196900614,-1.0,True
20,4,12,recall,joint_refit_recall,pair_lasso_recall,20,0.7203125000000001,0.6947916666666667,0.7463541666666667,0.8812499999999999,0.8609375,0.9010416666666666,-0.1609375,8.769942375590214e-05,-1.0,True
20,5,6,recall,joint_refit_recall,pair_lasso_recall,20,0.4729166666666666,0.440625,0.5083333333333333,0.715625,0.6854166666666667,0.7447916666666667,-0.2427083333333334,8.782404130245517e-05,-1.0,True
20,5,12,recall,joint_refit_recall,pair_lasso_recall,20,0.6661458333333334,0.6447916666666667,0.6854166666666666,0.8739583333333334,0.8577994791666667,0.8901041666666665,-0.2078125,8.757494073814436e-05,-1.0,True
8,3,2,recall,joint_lasso_recall,pair_lasso_recall,20,0.4625,0.359375,0.578125,0.68125,0.584375,0.775,-0.21875,0.0005997106624567767,-0.9181286549707602,True
8,3,5,recall,joint_lasso_recall,pair_lasso_recall,20,0.7400000000000001,0.6975,0.77875,0.8724999999999999,0.8300000000000001,0.9100000000000001,-0.13249999999999998,0.0004339135941093194,-1.0,True
8,4,2,recall,joint_lasso_recall,pair_lasso_recall,20,0.4625,0.39375,0.534375,0.759375,0.690625,0.828125,-0.296875,0.00018765191246446073,-1.0,True
8,4,5,recall,joint_lasso_recall,pair_lasso_recall,20,0.7175,0.6849999999999999,0.75125,0.9025000000000001,0.8737187499999999,0.9299999999999999,-0.185,0.0001017739630607831,-0.9904761904761905,True
8,5,2,recall,joint_lasso_recall,pair_lasso_recall,20,0.403125,0.334375,0.46875,0.75,0.690625,0.80625,-0.346875,8.306279703932927e-05,-1.0,True
8,5,5,recall,joint_lasso_recall,pair_lasso_recall,20,0.7012499999999999,0.6712499999999999,0.73,0.89125,0.8625,0.9174999999999999,-0.19,8.757494073814436e-05,-1.0,True
14,3,4,recall,joint_lasso_recall,pair_lasso_recall,20,0.565625,0.50625,0.6296875,0.709375,0.65,0.76875,-0.14375,0.0007511406938485027,-0.9005847953216374,True
14,3,8,recall,joint_lasso_recall,pair_lasso_recall,20,0.725,0.68984375,0.76328125,0.8625,0.840625,0.88359375,-0.1375,0.00021604098809923524,-0.9428571428571428,True
14,4,4,recall,joint_lasso_recall,pair_lasso_recall,20,0.4421875,0.4,0.4859375,0.7109375,0.6578125,0.7625,-0.26875,8.683086254706037e-05,-1.0,True
14,4,8,recall,joint_lasso_recall,pair_lasso_recall,20,0.684375,0.6546875,0.71640625,0.83984375,0.809375,0.8703125,-0.15546875,8.633748926134029e-05,-1.0,True
14,5,4,recall,joint_lasso_recall,pair_lasso_recall,20,0.3828125,0.35,0.4171875,0.696875,0.65625,0.7359375,-0.3140625,8.414365905152577e-05,-1.0,True
14,5,8,recall,joint_lasso_recall,pair_lasso_recall,20,0.66015625,0.63984375,0.68046875,0.85703125,0.82890625,0.88046875,-0.196875,8.609160404929316e-05,-1.0,True
20,3,6,recall,joint_lasso_recall,pair_lasso_recall,20,0.525,0.46875,0.58125,0.709375,0.6520833333333333,0.7625,-0.184375,0.00013039108231925053,-1.0,True
