n_features,n_classes,K,ovr_union_fidelity_test,ovr_union_complexity,ovr_exact_fidelity_test,ovr_exact_complexity,ovr_union_half_fidelity_test,ovr_union_half_complexity,pairwise_lime_fidelity_test,pairwise_lime_complexity,pairwise_lime_brier_test,contrastive_fidelity_test,contrastive_complexity,contrastive_brier_test,logistic_fidelity_test,logistic_complexity,logistic_brier_test,seed
8,3,2,0.7205495606427119,4,0.7140344812731079,2,0.6598544950729399,2,0.7140425875991633,2,0.01823282516607208,0.7075015221243389,2,0.018168614869906934,0.6151055218335649,2,0.02549950877269108,0
8,3,4,0.7021388915720562,5,0.7033903004756286,4,0.7205495606427119,4,0.728974880029546,4,0.015462673271838884,0.7219029891606626,4,0.015754640545019342,0.6348681064727196,4,0.020351424065753285,0
8,3,2,0.7140344811448774,2,0.7140344811448774,2,0.7404750053343855,1,0.7201650960723576,2,0.023346455636470663,0.7201650960723576,2,0.023574535083053863,0.7190128795425956,2,0.024006754661974494,0
8,3,4,0.7340791240208724,5,0.7182066393489006,4,0.7140344811448774,2,0.7436122526655886,4,0.020784845185248667,0.742941531544657,4,0.020678620842087617,0.7436122526655886,4,0.02055815461603699,0
8,3,2,0.8031918926766816,2,0.8031918926766816,2,0.744890018064733,1,0.8131096865795095,2,0.027377402156181358,0.8065579508274818,2,0.02676606507006978,0.8131096865795095,2,0.025810501066403833,0
8,3,4,0.853767986121387,4,0.853767986121387,4,0.8031918926766816,2,0.8668755981507771,4,0.015641360462311626,0.8428512285671769,4,0.016248652501586937,0.8754320024758011,4,0.014406572418448966,0
8,3,2,0.842565147890712,2,0.842565147890712,2,0.8513412657952083,1,0.8485062867364018,2,0.017533056606392986,0.8485062867364018,2,0.01669294984382825,0.8485062867364018,2,0.01686225495366832,0
8,3,4,0.8557170411579824,4,0.8557170411579824,4,0.842565147890712,2,0.8502081732081819,4,0.012455661374883398,0.8502081732081819,4,0.011782669778131971,0.8380542000154506,4,0.01683632029402991,0
8,3,2,0.6885980729085682,2,0.6885980729085682,2,0.6583393110204054,1,0.6956632120906637,2,0.02051630208441744,0.6860114156809723,2,0.020643539714590396,0.6473053817457098,2,0.025129730005496516,0
8,3,4,0.7551996563355935,5,0.7494073061731062,4,0.6885980729085682,2,0.7222332134004606,4,0.018854901688901277,0.7574641177761627,4,0.018503479142975354,0.7195688676969031,4,0.01925733949092565,0
8,3,2,0.6479336600359455,4,0.6294316279324327,2,0.6540724176491294,2,0.6882420945906584,2,0.01993095969158805,0.6765714088074561,2,0.019866457380252625,0.6882420945906584,2,0.019894785012929416,0
8,3,4,0.6846484985320409,6,0.7301956589446937,4,0.6479336600359455,4,0.7534818735299348,4,0.016642472988305353,0.7534818735299348,4,0.01657755231947751,0.7486174840762931,4,0.016481968612060412,0
8,3,2,0.7454334959443921,2,0.7454334959443921,2,0.6231159220712071,1,0.7445035823022987,2,0.01772373850498254,0.7418775835605989,2,0.01739745565799327,0.6160510247143286,2,0.028757817643382536,0
8,3,4,0.7643174843389446,5,0.7785826182417368,4,0.7454334959443921,2,0.7855127841267355,4,0.015515992690263452,0.7855127841267355,4,0.015185707274280367,0.7463469857021636,4,0.017853821345670776,0
8,3,2,0.7964061243229743,2,0.7964061243229743,2,0.815428500639241,1,0.7910820896087911,2,0.016244397967790543,0.7909027663798901,2,0.01630610592285076,0.7825534789226206,2,0.0226037674368245,0
8,3,4,0.7891385642081508,5,0.7986864532417564,4,0.7964061243229743,2,0.7895327009758721,4,0.014858670359709234,0.7856716605958314,4,0.01355892527795999,0.793566781867622,4,0.016057147773629397,0
