n_features,n_classes,ovr_hellinger,fisher_hard_hellinger,fisher_soft_hellinger,seed
8,3,0.017121189611715302,0.039120795590757755,0.031604684573828715,0
8,3,0.014936163350005601,0.060251275384093944,0.03592306886041036,0
8,3,0.017175675478283983,0.035881426834765764,0.028655409118725238,0
8,3,0.012036240981398104,0.045456497816670514,0.025956899496981354,0
8,3,0.01591010568232486,0.041814528308690986,0.0292378498593747,0
8,3,0.016489314043996034,0.04177289628816202,0.04167563849183786,0
8,3,0.009939726611998113,0.06969791949345192,0.016744695558995958,0
8,3,0.011226613434191629,0.055948829412792965,0.021785634236291148,0
8,3,0.02226400235424336,0.04842102469205011,0.04876289662644105,1
8,3,0.0203887573578036,0.050426587364759856,0.04911864230569812,1
8,3,0.02097489142973162,0.05006819606406572,0.04827768506513242,1
8,3,0.024853026713682856,0.059945653248138914,0.060711231242785706,1
8,3,0.01813091098989848,0.04808421066764527,0.044702573802489584,1
8,3,0.019494474147890038,0.058153418029664436,0.048264710896781665,1
8,3,0.0205516720502063,0.05273966867566582,0.04935492683881767,1
8,3,0.019063818986304333,0.048784966614764905,0.048083928597302227,1
8,3,0.017749235900192697,0.0394358385263334,0.03532603324046725,2
8,3,0.017227964187893276,0.03759506126065158,0.037804079603739466,2
8,3,0.016989874092992303,0.04297835422874474,0.039291181470979694,2
8,3,0.016959972435439917,0.056253686840516806,0.04199151935200759,2
8,3,0.016994812670746647,0.0552040252721817,0.03220636065654481,2
8,3,0.010899356719325784,0.05460083274577636,0.0210344372293078,2
8,3,0.019702395548538306,0.07177586301062462,0.05049140454848837,2
8,3,0.018902596403035796,0.04131720776835144,0.04098077975382123,2
8,3,0.010944048504524158,0.029045050104702468,0.014371194370744187,3
8,3,0.016056095056874213,0.04002875430116779,0.0239798452343492,3
8,3,0.018736349251923582,0.051262781542010305,0.03451352922262207,3
8,3,0.014326007103410655,0.0515721182134714,0.03002681920893206,3
8,3,0.014616508094576585,0.05952791377996317,0.03025328522434948,3
8,3,0.012984864450526854,0.03053813528079259,0.02562971267900189,3
8,3,0.011509900651532423,0.03411395118624126,0.03212746215480209,3
8,3,0.016748913387772138,0.04292612940578444,0.030176240124652455,3
8,3,0.017670624309798228,0.04292238737130806,0.031756287554269236,4
8,3,0.016907442045688607,0.07368726183998467,0.04685270638238151,4
8,3,0.014351573168787324,0.030871914534382195,0.03073258913163785,4
8,3,0.020117699761802065,0.035272513121632244,0.03333544227599945,4
8,3,0.016996151931650917,0.03177811354999395,0.029858097756965046,4
8,3,0.01848357583507375,0.036692919226229845,0.031295941035237244,4
8,3,0.01808217564127379,0.03676299391924093,0.03201595525872768,4
8,3,0.020592461126303772,0.03986935506971547,0.031105163067013792,4
8,3,0.01544612159710446,0.03986532672669462,0.03235181264174075,5
8,3,0.017804191779546518,0.041682514651501947,0.04175370047306412,5
8,3,0.018154628849540472,0.0437778720303916,0.04336923272793425,5
8,3,0.02158756996442535,0.05970664461479964,0.0538637927095392,5
8,3,0.020991600565020963,0.052738848658779695,0.049608911439289666,5
8,3,0.01815000308330535,0.04300057771593656,0.03060868196556951,5
8,3,0.015414877164951867,0.05427525770765047,0.032674208628828846,5
8,3,0.017972881588484403,0.03986385123893874,0.03631316134905764,5
8,3,0.017513545197680655,0.051901046377568025,0.04480298929559648,6
8,3,0.015792133692827198,0.04461995539446484,0.03108830200894934,6
8,3,0.0157462133220391,0.050656958922625936,0.04156124632240746,6
8,3,0.015816182563532104,0.058882725029524546,0.02462067191414774,6
8,3,0.021331470964845452,0.06509927159147239,0.06377197737339377,6
8,3,0.015321011578790348,0.07375848251697861,0.024467733157404078,6
8,3,0.016707936621368435,0.04382706013224973,0.03863734274773704,6
8,3,0.02229283266611139,0.06283508443111517,0.06185990752439245,6
8,3,0.020331592055712236,0.06620815633025298,0.04096434369632458,7
8,3,0.01915236983006589,0.07001584072654883,0.03563135769827184,7
8,3,0.017256301604920716,0.03688186894527363,0.03517486449311621,7
8,3,0.019034612156892665,0.06853749044935026,0.03019468431541715,7
8,3,0.014303129477880198,0.07200251065376537,0.022165603992942772,7
8,3,0.01761085642542426,0.0722576093620071,0.03289121771319441,7
8,3,0.01944094576398036,0.056891623088844906,0.03749563561652209,7
8,3,0.019037702565070754,0.06882208504003225,0.030940953376338873,7
8,3,0.014403676573430679,0.08359289078385726,0.016937318925053027,8
8,3,0.019659815575765918,0.0642129177457329,0.0348103793619021,8
8,3,0.019276476292188458,0.060591628366831116,0.034999970288491326,8
8,3,0.013620734940132422,0.10535604231837846,0.023637504089544587,8
8,3,0.012433551100637751,0.09079319721526732,0.014713153022298246,8
8,3,0.014112027862764658,0.09241420874382075,0.01636499218684786,8
8,3,0.016057041093182334,0.06353655101335041,0.02770238593840822,8
8,3,0.017533338088592833,0.06391521204927511,0.027637768624192212,8
8,3,0.016938142993263235,0.04539887896881704,0.03147567649131595,9
8,3,0.019293816135100915,0.04148621490023887,0.0342614167571256,9
8,3,0.020037200563072278,0.06309022652449539,0.04693992245653559,9
8,3,0.017122979818944985,0.04946916030168835,0.03494058295537744,9
8,3,0.01394602592616898,0.04457347523553871,0.03752811226993865,9
8,3,0.018561452626021355,0.05523918449508616,0.04148472014511674,9
8,3,0.016881914144112425,0.07225555819945698,0.04473603747139021,9
8,3,0.012862653156432905,0.08628374799623335,0.021785539505235492,9
8,3,0.015621776328405996,0.057461815050346796,0.031020938616093223,10
