n_features,n_classes,min_pair_class_frac_hard,centroid_hard,centroid_soft,pooled_hard,pooled_soft,pair_hard,pair_soft,diag_hard,diag_soft,cov_logodds,ovr,contrastive,seed
8,3,0.46922016312129694,0.9285714285714287,0.9047619047619048,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,0
8,3,0.42485984019406264,0.9761904761904763,0.9523809523809524,1.0,1.0,0.9523809523809524,1.0,0.9523809523809524,0.9523809523809524,1.0,0.9761904761904763,1.0,0
8,3,0.4571769735001812,0.9523809523809524,0.9523809523809524,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9523809523809524,0.9285714285714287,0.9761904761904763,0.9523809523809524,1.0,0
8,3,0.43855932475630527,0.9523809523809524,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.9523809523809524,0.9285714285714287,1.0,0.9523809523809524,1.0,0
8,3,0.4876616201280981,0.9047619047619048,0.880952380952381,0.9523809523809524,1.0,0.9523809523809524,1.0,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,0
8,3,0.43604844540082444,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9761904761904763,0.9523809523809524,1.0,0.9761904761904763,1.0,0
8,3,0.48627776937332556,0.9523809523809524,0.9761904761904763,0.9523809523809524,1.0,0.9523809523809524,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,0
8,3,0.416360295690687,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0.9523809523809524,0.9761904761904763,0.9523809523809524,1.0,0
8,3,0.37699716495111296,0.9047619047619048,0.9285714285714287,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9285714285714287,0.9285714285714287,0.9761904761904763,0.9285714285714287,1.0,1
8,3,0.4555028561841932,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.9285714285714287,1.0,1
8,3,0.4586235738776615,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,1
8,3,0.32830293185984355,0.9285714285714287,0.9523809523809524,0.9285714285714287,0.9285714285714287,0.9761904761904763,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9761904761904763,1.0,1
8,3,0.3535220264209959,0.880952380952381,0.880952380952381,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0.880952380952381,0.880952380952381,0.9523809523809524,0.9761904761904763,1.0,1
8,3,0.2847671823441423,0.9285714285714287,0.9285714285714287,1.0,1.0,0.9761904761904763,0.9761904761904763,0.9285714285714287,0.9285714285714287,0.9523809523809524,0.9761904761904763,1.0,1
8,3,0.38382798297296633,0.9523809523809524,0.880952380952381,0.9047619047619048,0.9285714285714287,0.9047619047619048,0.9285714285714287,0.9523809523809524,0.9047619047619048,0.9285714285714287,0.9523809523809524,1.0,1
8,3,0.4511797212281592,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,0.9523809523809524,1.0,1.0,1
8,3,0.4811602398655913,0.9285714285714287,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9285714285714287,0.9285714285714287,1.0,1.0,1.0,2
8,3,0.4964490209236928,0.9285714285714287,0.9285714285714287,0.9047619047619048,1.0,0.9047619047619048,1.0,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,2
8,3,0.47198343773639656,0.9523809523809524,0.9285714285714287,0.9285714285714287,1.0,0.9285714285714287,1.0,0.8571428571428572,0.9285714285714287,1.0,1.0,1.0,2
8,3,0.4737995134406696,0.9761904761904763,1.0,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.8333333333333335,0.8571428571428572,1.0,0.9761904761904763,1.0,2
8,3,0.4571576444641033,0.9761904761904763,0.9523809523809524,0.9285714285714287,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.9047619047619048,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,2
8,3,0.45278778813133214,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
8,3,0.3773944665472594,0.9285714285714287,0.9285714285714287,0.9523809523809524,0.9761904761904763,0.9523809523809524,0.9761904761904763,0.9523809523809524,0.9523809523809524,0.9761904761904763,0.9761904761904763,1.0,2
8,3,0.47390284379965053,0.9761904761904763,0.9761904761904763,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8571428571428572,0.8333333333333335,0.9761904761904763,0.9047619047619048,1.0,2
8,3,0.4836122552185909,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,1.0,0.9761904761904763,0.9523809523809524,1.0,1.0,1.0,3
8,3,0.4799345861634356,0.880952380952381,0.880952380952381,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9761904761904763,0.9285714285714287,1.0,1.0,1.0,3
8,3,0.49752550027990505,0.9047619047619048,0.880952380952381,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,3
8,3,0.43210204389885243,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,1.0,1.0,0.9761904761904763,1.0,1.0,1.0,3
8,3,0.4763286901850472,0.8333333333333335,0.8333333333333335,0.9285714285714287,1.0,0.9285714285714287,1.0,0.9047619047619048,0.9523809523809524,1.0,1.0,1.0,3
8,3,0.4313416081391873,0.9047619047619048,0.880952380952381,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,3
8,3,0.47285190362243606,0.9523809523809524,0.9047619047619048,0.9761904761904763,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,1.0,1.0,3
8,3,0.43955441049058946,0.8571428571428572,0.9285714285714287,0.9285714285714287,1.0,0.9285714285714287,1.0,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,3
8,3,0.4867618040226986,0.9285714285714287,0.9285714285714287,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,1.0,1.0,1.0,0.9761904761904763,1.0,4
8,3,0.45026313275679825,0.9285714285714287,0.9285714285714287,1.0,1.0,1.0,1.0,0.9761904761904763,1.0,1.0,1.0,1.0,4
8,3,0.3376088132186433,0.9047619047619048,0.9047619047619048,0.8571428571428572,0.9523809523809524,0.8571428571428572,0.9761904761904763,0.8333333333333335,0.8333333333333335,0.9523809523809524,0.9761904761904763,1.0,4
8,3,0.44850177709173994,0.9761904761904763,0.9285714285714287,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,0.9761904761904763,1.0,4
8,3,0.46515857221700196,0.8333333333333335,0.8333333333333335,0.7857142857142858,1.0,0.8333333333333335,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,4
8,3,0.3906111520641429,0.8333333333333335,0.8571428571428572,0.9285714285714287,0.8571428571428572,0.9285714285714287,0.9761904761904763,0.9523809523809524,0.9285714285714287,0.9047619047619048,0.9523809523809524,1.0,4
8,3,0.40898794145154643,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9761904761904763,0.9523809523809524,0.9761904761904763,0.9523809523809524,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,4
8,3,0.3940694365094402,0.8571428571428572,0.9047619047619048,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9285714285714287,0.9761904761904763,0.9523809523809524,1.0,1.0,4
8,3,0.34007679562351417,0.9761904761904763,0.9761904761904763,0.9761904761904763,1.0,0.9761904761904763,1.0,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,5
