n_features,n_classes,standard_fidelity_train,standard_extreme_train,standard_moderate_train,standard_fidelity_test,standard_extreme_test,standard_moderate_test,kernel_fidelity_train,kernel_extreme_train,kernel_moderate_train,kernel_fidelity_test,kernel_extreme_test,kernel_moderate_test,logistic_fidelity_train,logistic_extreme_train,logistic_moderate_train,logistic_fidelity_test,logistic_extreme_test,logistic_moderate_test,combined_fidelity_train,combined_extreme_train,combined_moderate_train,combined_fidelity_test,combined_extreme_test,combined_moderate_test,standard_direction_variance,kernel_direction_variance,logistic_direction_variance,combined_direction_variance,seed
8,3,0.7427176186190391,0.8527151959338672,0.7361107154450327,0.8043550663195869,0.7997699370548744,0.8044815259193737,0.7468656809430169,0.8317645154406933,0.741766310640463,0.8043754399068159,0.7997699370548744,0.8045024614178464,0.741944008287447,0.8527151959338672,0.7352906389213661,0.8039274138941628,0.7997699370548744,0.8040420786782652,0.7465161653939063,0.8317645154406933,0.7413958017617975,0.7933994414767364,0.7997699370548744,0.7932237407985777,0.09789192673180094,0.09710185080783248,0.09106964381706054,0.09455447537899285,0
8,3,0.8713554273560842,0.9896691998566967,0.8297825790534404,0.8236517252356695,1.0,0.7813226914404688,0.8749397841458776,0.9896691998566967,0.8346263997072896,0.8376521788748874,1.0,0.79868368646312,0.8752265249787324,0.9896691998566967,0.8350138949400295,0.8343409701533202,1.0,0.7945776853566231,0.8740805849084892,0.9896691998566967,0.8334652968216382,0.8285936354205359,1.0,0.787450812738019,0.02139744694993416,0.030724360417411563,0.023126354701290843,0.027435464529573912,0
8,3,0.7465793563386915,0.8557416213417556,0.7369525893248483,0.6664344471785816,0.9671971000279855,0.6428007359908735,0.7391483873853157,0.92971782523724,0.7223425105733234,0.6753787416266023,0.9671971000279855,0.6524478666114032,0.733092113349293,0.8953909977416734,0.7187793510902075,0.676126162588181,0.9671971000279855,0.6532540193702123,0.7297320590135469,0.92971782523724,0.7120957780380068,0.6760827013545428,0.9206185836321307,0.6568672490301692,0.05981838282891219,0.05789639444004772,0.050875556079060004,0.053365046092272446,0
8,3,0.8238869964130568,1.0,0.8159635502638238,0.7982922314794821,1.0,0.7874428991768484,0.8397978952963057,1.0,0.8325902915205466,0.816379855963198,1.0,0.8065034095837414,0.8417009647258378,1.0,0.8345789813633137,0.8151002022275402,1.0,0.8051549266269172,0.8476756113767583,1.0,0.8408224315099163,0.8134868707766778,1.0,0.803454818304975,0.008308943485168925,0.008837674335106597,0.00880265096868248,0.009735204268481743,0
8,3,0.7645946702476367,0.9158999134937732,0.7584815929248376,0.7477022096633469,1.0,0.7362341687307074,0.7630804393977572,0.9158999134937732,0.7569061836909755,0.7531359912041697,1.0,0.7419149394704685,0.7656125304879681,0.9158999134937732,0.7595405770430957,0.754259284188166,1.0,0.7430892910463875,0.7680361462998131,0.9158999134937732,0.7620621124679081,0.757074346591573,1.0,0.7460323103804802,0.057108073311222834,0.04643361663691963,0.04763015719246182,0.046055042831737385,0
8,3,0.7343389083910353,0.7099237943746989,0.739166011968399,0.7152323760283531,0.7984221049525788,0.705544124499949,0.725532234624662,0.7197797153866428,0.72666956317345,0.7372272618448543,0.7984221049525788,0.7301005282933016,0.7285991799002814,0.7197797153866428,0.7303428731173491,0.7263964538723529,0.7984221049525788,0.7180083675883131,0.7285730845298831,0.7197797153866428,0.7303116184404769,0.7417771483844461,0.7984221049525788,0.7351802932901417,0.07263032974179337,0.051229112395198166,0.05027043475730403,0.05727139363666435,0
8,3,0.805708879514319,1.0,0.7945706253885174,0.8252143660797859,1.0,0.809762482987567,0.816751034332507,1.0,0.8062458010372712,0.8326572704937694,1.0,0.817863375625708,0.8239409194828536,1.0,0.8138478654356439,0.8416524408939619,1.0,0.8276537619615639,0.8310344132387054,1.0,0.8213480125470117,0.8466897058688506,1.0,0.8331363451685679,0.02271570638634548,0.028726890216010853,0.029634286128870257,0.03586924132069562,0
8,3,0.7857459779539804,1.0,0.7822776795091839,0.7978428846310573,1.0,0.7912314032678601,0.7937784025053674,1.0,0.7904401312372533,0.7978568784202557,1.0,0.7912458547192899,0.7915987704455167,1.0,0.7882252157581641,0.7978568784202557,1.0,0.7912458547192899,0.8069575900677298,1.0,0.8038326606789875,0.7933155913139616,1.0,0.7865560463254149,0.02713960982957682,0.03061070173066622,0.026893217854486128,0.03121186431866651,0
8,3,0.8457972830329301,1.0,0.8218558766806379,0.780475269707633,0.9958395089499036,0.7270945104798769,0.846494602073779,1.0,0.8226614609897164,0.7789860055567185,0.9958395089499036,0.7252361133134433,0.8503026859103354,1.0,0.8270607852683854,0.7896431644540687,0.9958395089499036,0.7385347842610432,0.8510772862797444,1.0,0.8279556495512287,0.7940909068535392,0.9958395089499036,0.7440849560469736,0.016682132790410347,0.018396269201540725,0.016723695379622955,0.019628694735923144,1
8,3,0.884378390141645,1.0,0.8695663238868356,0.8727896552592984,0.9806680095748258,0.8539438916765802,0.9041531596276321,0.9854846457626845,0.8937339364157227,0.889140041953533,0.9806680095748258,0.8731506022745362,0.896931441140468,0.9854846457626845,0.885587057200936,0.8924404869390099,0.9806680095748258,0.8770276171039704,0.9069937357575988,0.9854846457626845,0.8969384133933809,0.9060980229664681,0.9806680095748258,0.8930710506242946,0.010091893989941618,0.008256723665136185,0.007962046798798611,0.008080627078129952,1
