n_features,n_classes,K,pair_lasso_fidelity,fisher_select_fidelity,ridge_select_fidelity,joint_lasso_fidelity,joint_refit_fidelity,pair_lasso_crosspair_overlap,pair_lasso_cycle_residual,fisher_select_crosspair_overlap,fisher_select_cycle_residual,ridge_select_crosspair_overlap,ridge_select_cycle_residual,joint_lasso_crosspair_overlap,joint_lasso_cycle_residual,joint_refit_crosspair_overlap,joint_refit_cycle_residual,pair_lasso_support_stability,pair_lasso_direction_variance,fisher_select_support_stability,fisher_select_direction_variance,ridge_select_support_stability,ridge_select_direction_variance,joint_lasso_support_stability,joint_lasso_direction_variance,joint_refit_support_stability,joint_refit_direction_variance,seed
8,3,2,0.6613128444866908,0.6525430718986176,0.6525430718986176,0.6613128444866908,0.6755428499211109,0.5555555555555555,2.771152661084356,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03119311238552742,0.7777777777777779,0.19408404178951252,0.6,0.37193650259171834,1.0,0.5280852356313542,1.0,0.037961622189694295,0
8,3,5,0.7181127886076742,0.7456488077708342,0.7456488077708342,0.6833969814723856,0.7180742981312055,0.5873015873015873,0.835904350548334,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888887,0.06532787123806898,1.0,0.08789542263171782,1.0,0.08789542263171782,0.8,0.08306100139844105,0.8,0.13966199101596605,0
8,3,2,0.7313674949506186,0.733440747035258,0.733440747035258,0.7026316963108937,0.7964676968902453,0.2222222222222222,1.4130358003889851,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777779,4.4615766931920874e-07,1.0,0.0027802683156993207,0.7777777777777778,0.09185267527537604,1.0,0.5322735832925556,1.0,0.0036595769470139225,0
8,3,5,0.8587825023705543,0.8828227513087451,0.8828227513087451,0.8700243973128577,0.8722096278483882,0.5873015873015873,0.2909257949431081,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.024632682044604372,1.0,0.01401555831138383,1.0,0.01401555831138383,0.8888888888888888,0.0081242561812511,0.8888888888888888,0.0038450368990766036,0
8,3,2,0.5763723612236623,0.7030774828323977,0.7030774828323977,0.5707422868639029,0.6107647704829379,0.5555555555555555,0.46074706771994745,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.33018710374332805,0.6,0.2041032319245603,0.6,0.2041032319245603,0.6444444444444445,2.4454097559006547e-08,0.6444444444444445,0.20141836180577743,0
8,3,5,0.6784485004526803,0.7348291235100656,0.7348291235100656,0.69527252024551,0.7761726250259575,0.5873015873015873,0.8045012367497116,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888887,0.12663921188161112,0.7238095238095237,0.19033347491507843,0.7079365079365079,0.1970751293930902,0.8888888888888887,0.01703125889532527,0.8888888888888887,0.07200368170868468,0
8,3,2,0.7382431483217229,0.792096232126852,0.792096232126852,0.6038930278524611,0.7672043745494284,0.5555555555555555,0.2912642137439938,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4386920303320231e-08,1.0,0.005504337264399348,1.0,0.005504337264399348,0.511111111111111,1.0822220577836713e-08,0.511111111111111,0.032931762339492854,0
8,3,5,0.7661479478643407,0.7964773170261934,0.7964773170261934,0.7664262304789733,0.7841741845871574,0.5873015873015873,0.4198172670917888,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7174603174603174,0.028440984204535072,0.8222222222222222,0.017991249630620904,0.8222222222222222,0.017991249630620904,0.711111111111111,0.007938044038594862,0.711111111111111,0.1228767488928924,0
8,3,2,0.6127795539347425,0.6496193699572439,0.6496193699572439,0.5808791523368867,0.5812871565139026,0.3333333333333333,0.9658900084399744,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.3785469386647225e-07,1.0,0.0768186422315834,1.0,0.0768186422315834,1.0,0.3319867823655589,1.0,0.03191335829485917,0
8,3,5,0.7068494355398673,0.7491789096677749,0.7491789096677749,0.7252161797173095,0.7779601364994011,0.7777777777777777,0.3107385779037979,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8222222222222221,0.056460102143547096,0.7555555555555554,0.10917541703559462,0.8,0.0774142072118299,0.7999999999999999,0.05512262458277295,0.7999999999999999,0.05896258562996725,0
